Model,MAE,RMSE,R2
Linear Regression,23260.896619744464,52261.7363657907,0.5615822928864913
Random Forest,15419.45937164037,48941.10886852506,0.6155250697344796
Gradient Boosting,14659.31833933364,48221.481750679945,0.6267485364546383
